period_starting,period_ending,site,gender,asir
1976,1980,colorectal,male,27.3
1976,1980,colorectal,female,23.4
1976,1980,lung,male,62.6
1976,1980,lung,female,19.6
1976,1980,prostate,male,5.9
1976,1980,breast,female,24.6
1981,1985,colorectal,male,28.2
1981,1985,colorectal,female,25.8
1981,1985,lung,male,61.9
1981,1985,lung,female,20.7
1981,1985,prostate,male,7.9
1981,1985,breast,female,28.6
1986,1990,colorectal,male,35
1986,1990,colorectal,female,27.7
1986,1990,lung,male,55.9
1986,1990,lung,female,19.1
1986,1990,prostate,male,9.1
1986,1990,breast,female,36.3
1991,1995,colorectal,male,38
1991,1995,colorectal,female,29.9
1991,1995,lung,male,50.1
1991,1995,lung,female,18.3
1991,1995,prostate,male,12.7
1991,1995,breast,female,41
1996,2000,colorectal,male,38.8
1996,2000,colorectal,female,29.7
1996,2000,lung,male,48.3
1996,2000,lung,female,17
1996,2000,prostate,male,15.6
1996,2000,breast,female,50.5
2001,2005,colorectal,male,41.1
2001,2005,colorectal,female,29.4
2001,2005,lung,male,42.2
2001,2005,lung,female,16.5
2001,2005,prostate,male,21.4
2001,2005,breast,female,59.3
2006,2010,colorectal,male,40.2
2006,2010,colorectal,female,28.4
2006,2010,lung,male,37.5
2006,2010,lung,female,15.5
2006,2010,prostate,male,27.3
2006,2010,breast,female,61
2011,2015,colorectal,male,38.6
2011,2015,colorectal,female,27
2011,2015,lung,male,33.2
2011,2015,lung,female,15
2011,2015,prostate,male,29.7
2011,2015,breast,female,65.3
